year,predicted_capacity
2010,-2289.648351877928
2011,-1004.0571430921555
2012,208.59999975562096
2013,1348.3230766952038
2014,2415.1120876967907
2015,3408.967032790184
2016,4329.887911945581
2017,5177.874725192785
2018,5952.927472412586
2019,6655.0461538136005
2020,7284.230769276619
2021,7840.4813188016415
2022,8323.797802388668
2023,8734.180220067501
2024,9071.62857183814
2025,9336.142857670784
2026,9527.723077565432
2027,9646.369231522083
2028,9692.081319600344
2029,9664.859341710806
2030,9564.703297913074
2031,9391.613188177347
